p	trial_divisor	remainder
21169	39	31
21169	40	9
21169	41	13
21169	42	1
21169	43	13
21169	44	5
21169	45	19
21169	46	9
21169	47	19
21169	48	1
21169	49	1
21169	50	19
21169	51	4
21169	52	5
21169	53	22
21169	54	1
21169	55	49
21169	56	1
21169	57	22
21169	58	57
21169	59	47
21169	60	49
21169	61	2
21169	62	27
21169	63	1
21169	64	49
21169	65	44
21169	66	49
21169	67	64
21169	68	21
21169	69	55
21169	70	29
21169	71	11
21169	72	1
21169	73	72
21169	74	5
21169	75	19
21169	76	41
21169	77	71
21169	78	31
21169	79	76
21169	80	49
21169	81	28
21169	82	13
21169	83	4
21169	84	1
21169	85	4
21169	86	13
21169	87	28
21169	88	49
21169	89	76
21169	90	19
21169	91	57
21169	92	9
21169	93	58
21169	94	19
21169	95	79
21169	96	49
21169	97	23
21169	98	1
21169	99	82
21169	100	69
21169	101	60
21169	102	55
21169	103	54
21169	104	57
21169	105	64
21169	106	75
21169	107	90
21169	108	1
21169	109	23
21169	110	49
21169	111	79
21169	112	1
21169	113	38
21169	114	79
21169	115	9
21169	116	57
21169	117	109
21169	118	47
21169	119	106
21169	120	49
21169	121	115
21169	122	63
21169	123	13
21169	124	89
21169	125	44
21169	126	1
21169	127	87
21169	128	49
21169	129	13
21169	130	109
21169	131	78
21169	132	49
21169	133	22
21169	134	131
21169	135	109
21169	136	89
21169	137	71
21169	138	55
21169	139	41
21169	140	29
21169	141	19
21169	142	11
21169	143	5
21169	144	1
21169	145	144
